"MonitoringLocationIdentifier","UID","OrganizationIdentifier","OrganizationFormalName","ProviderName","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","IR_FLAG","IR_COMMENT","IR_MLID","IR_MLNAME","ASSESS_ID","AU_NAME","AU_Type","Water_Type","R317Descrp","ss_R317Descrp","BEN_CLASS","MLID_Count","Lat_Count","Long_Count","sites100m_count","LatitudeMeasure","LongitudeMeasure","IR_Lat","IR_Long","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ValidationType"
"952307_WQX-4933370",11,"952307_WQX","LT Environmental Inc.","STORET","SW-05","River/Stream",NA,"ACCEPT","Automatically accepted","952307_WQX-4933370","SW-05","UT14060005-009_00","Green River-3","River/Stream","River / Stream","Green River and tributaries, from confluence with Colorado River to state line except as listed below:",NA,"1C,2B,3B,4",1,1,1,0,39.842487783,-109.916060291,39.842487783,-109.916060291,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"952307_WQX-4933440",12,"952307_WQX","LT Environmental Inc.","STORET","SW-10","River/Stream",NA,"ACCEPT","Automatically accepted","952307_WQX-4933440","SW-10","UT14060005-002_00","Pariette Draw Creek","River/Stream","River / Stream","Pariette Draw and tributaries, from confluence with Green River to headwaters",NA,"2B,3B,3D,4",1,1,1,0,40.031253792,-109.754063388,40.031253792,-109.754063388,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"952307_WQX-4933476",13,"952307_WQX","LT Environmental Inc.","STORET","SW-09","River/Stream",NA,"ACCEPT","Automatically accepted","952307_WQX-4933476","SW-09","UT14060005-002_00","Pariette Draw Creek","River/Stream","River / Stream","Pariette Draw and tributaries, from confluence with Green River to headwaters",NA,"2B,3B,3D,4",1,1,1,0,40.072139463,-109.857526599,40.072139463,-109.857526599,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"952307_WQX-4933480",14,"952307_WQX","LT Environmental Inc.","STORET","SW-08","River/Stream",NA,"ACCEPT","Automatically accepted","952307_WQX-4933480","SW-08","UT14060005-002_00","Pariette Draw Creek","River/Stream","River / Stream","Pariette Draw and tributaries, from confluence with Green River to headwaters",NA,"2B,3B,3D,4",1,1,1,0,40.082710469,-109.873731646,40.082710469,-109.873731646,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"952307_WQX-4937020",15,"952307_WQX","LT Environmental Inc.","STORET","SW-11","River/Stream",NA,"REVIEW","Automatically flagged for review","REVIEW",NA,"UT14060001-004_00","Green River-2","River/Stream","River / Stream","Green River and tributaries, from confluence with Colorado River to state line except as listed below:",NA,"1C,2B,3B,4",1,1,1,1,40.084967676,-109.675747122,NA,NA,14060010,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"952307_WQX-Rye Spring 2",16,"952307_WQX","LT Environmental Inc.","STORET","Rye Spring 2","Spring",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT",NA,NA,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,39.85574659,110.31228572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"952307_WQX-Rye Spring 3",17,"952307_WQX","LT Environmental Inc.","STORET","Rye Spring 3","Spring",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT",NA,NA,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,39.85453501,110.29105452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"952307_WQX-Unnamed Spring 2",18,"952307_WQX","LT Environmental Inc.","STORET","Unnamed Spring 2","Spring",NA,"REVIEW","Automatically flagged for review","REVIEW",NA,"UT14060005-002_00","Pariette Draw Creek","River/Stream","River / Stream","Pariette Draw and tributaries, from confluence with Green River to headwaters",NA,"2B,3B,3D,4",1,1,1,1,40.012526,-110.008013,NA,NA,14060005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"NTHRNUTE-DDC",19,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","Duchesne River South of Randlett","River/Stream","Below city of Randlett at USGS station.","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-001_00","Duchesne River-1","River/Stream","River / Stream","Duchesne River and tributaries, from confluence with Green River to Myton Water Treatment Plant intake, except as listed below",NA,"2B,3B,4",NA,NA,NA,NA,40.21584,-109.78389,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"NTHRNUTE-DLF",20,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","Duchesne River","River/Stream","Bridgeland at bridge (confluence of Strawberry and Indian Canyon)","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-006_00","Duchesne River-3","River/Stream","River / Stream","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters",NA,"1C,2B,3A,4",NA,NA,NA,NA,40.16232883,-110.232954,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"NTHRNUTE-DLF2",21,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","Duchesne River 2","River/Stream","DLF2 replaced DLF in 2017 due to issues accessing the original location","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-006_00","Duchesne River-3","River/Stream","River / Stream","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters",NA,"1C,2B,3A,4",NA,NA,NA,NA,40.16763183,-110.16634,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"NTHRNUTE-G4C",22,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","4 Corners","River/Stream","Dry Gulch near Four Corners Bridge South of Fort Duchesne West of Randlett","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-009_00","Dry Gulch Creek","River/Stream","River / Stream","Duchesne River and tributaries, from confluence with Green River to Myton Water Treatment Plant intake, except as listed below",NA,"2B,3B,4",NA,NA,NA,NA,40.24153,-109.85905,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS Carrier Phase Static Relative Position","WGS84",4865,"ft",NA,NA,"GPS Carrier Phase Static Relative Position","SEALV","US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"NTHRNUTE-IDR",23,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","INDIAN CREEK","River/Stream",NA,"ACCEPT","Automatically accepted","NTHRNUTE-IDR","INDIAN CREEK","UT14060004-002_00","Indian Canyon Creek","River/Stream","River / Stream","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters",NA,"1C,2B,3A,4",1,1,1,0,40.1571803895142,-110.405710692502,40.1571803895142,-110.405710692502,14060004,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"NTHRNUTE-RKD",24,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","Rock Creek","River/Stream","Knights Diversion below 3rd bridge.","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-016_00","Rock Creek Lower","River/Stream","River / Stream","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters",NA,"1C,2B,3A,4",NA,NA,NA,NA,40.31107983,-110.493852,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"NTHRNUTE-SCC",25,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","Sowers Canyon Creek","River/Stream","River/Stream","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-005_00","Antelope Creek","River/Stream","River / Stream","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters",NA,"1C,2B,3A,4",NA,NA,NA,NA,40.06155483,-110.290383,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"NTHRNUTE-SSD",26,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","STRAWBERRY RIVER NEAR DUCHESNE","River/Stream",NA,"ACCEPT","Manually accepted","NTHRNUTE-SSD","STRAWBERRY RIVER NEAR DUCHESNE","UT14060004-004_00","Strawberry River-2","River/Stream","River / Stream","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters",NA,"1C,2B,3A,4",1,1,1,1,40.154679310949,-110.554878509254,40.1546793109493,-110.554878509254,14060004,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"MANUAL"
"NTHRNUTE-UBH",27,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","Bottle Hallow Reservoir","Lake",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-004_00","Uinta River-2","River/Stream","Lake / Reservoir","Bottle Hollow Reservoir",NA,"2B,3A,4",NA,NA,NA,NA,40.2943694444,-109.8842333333,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"NTHRNUTE-UBS",28,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","Big Springs","River/Stream","Big Springs above Big Springs Ponds/Powerhouse Canal bifurcation","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-010_00","Uinta River-3","River/Stream","River / Stream","Uinta River and tributaries, From Highway US-4- crossing to headwaters",NA,"2B,3A,4",NA,NA,NA,NA,40.598033,-110.129833,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS Carrier Phase Static Relative Position","WGS84",7295,"ft",NA,NA,"GPS Carrier Phase Static Relative Position","SEALV","US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"NTHRNUTE-UCC",29,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","Coltharpe Canal","River/Stream","Coltharpe Canal below diversion from UintahRiver at Sundance Grounds","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-010_00","Uinta River-3","River/Stream","River / Stream","Uinta River and tributaries, From Highway US-4- crossing to headwaters",NA,"2B,3A,4",NA,NA,NA,NA,40.4583,-109.95245,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS Carrier Phase Static Relative Position","WGS84",5919,"ft",NA,NA,"GPS Carrier Phase Static Relative Position","SEALV","US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"NTHRNUTE-UFD",30,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","Ft. Duchesne","River/Stream","Uintah River at US 40 Bridge","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-010_00","Uinta River-3","River/Stream","River / Stream","Uinta River and tributaries, From Highway US-4- crossing to headwaters",NA,"2B,3A,4",NA,NA,NA,NA,40.30195,-109.85315,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS Carrier Phase Static Relative Position","WGS84",5018,"ft",NA,NA,"GPS Carrier Phase Static Relative Position","SEALV","US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"NTHRNUTE-URN",31,"NTHRNUTE","Northern Ute Indian Tribe (UT)","STORET","Randlett","River/Stream","Uintah River between Randlett and Confluence with Duchesne","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT14060003-003_00","Uinta River-1","River/Stream","River / Stream","Uinta River and tributaries, From confluence with Duchesne River to Highway US-40 crossing",NA,"2B,3B,4",NA,NA,NA,NA,40.23341,-109.80399,NA,NA,14060003,NA,NA,NA,NA,NA,NA,NA,"GPS Carrier Phase Static Relative Position","WGS84",4767,"ft",NA,NA,"GPS Carrier Phase Static Relative Position","SEALV","US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09180000",37,"USGS-UT","USGS Utah Water Science Center","NWIS","DOLORES RIVER NEAR CISCO, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09180000","DOLORES RIVER NEAR CISCO, UT","UT14030004-001_00","Dolores River","River/Stream","River / Stream","Dolores River and tributaries, from confluence with Colorado River to state line",NA,"2B,3C,4",1,1,1,0,38.7972081,-109.1951142,38.7972081,-109.1951142,14030004,4580,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",4165,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09180500",38,"USGS-UT","USGS Utah Water Science Center","NWIS","COLORADO RIVER NEAR CISCO, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09180500","COLORADO RIVER NEAR CISCO, UT","UT14030005-004_00","Colorado River-4","River/Stream","River / Stream","Colorado River and tributaries, from Lake Powell to state line except as listed below",NA,"1C,2A,3B,4",1,1,1,0,38.810541,-109.2934493,38.810541,-109.2934493,14030005,24100,"sq mi",NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",4090,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09182880",39,"USGS-UT","USGS Utah Water Science Center","NWIS","COLORADO RIVER AT HIGHWAY BRIDGE NR MOAB, UT","Stream",NA,"REVIEW","Automatically flagged for review","REVIEW",NA,"UT14030005-004_00","Colorado River-4","River/Stream","River / Stream","Colorado River and tributaries, from Lake Powell to state line except as listed below",NA,"1C,2A,3B,4",1,2,2,0,38.6038705,-109.5778956,NA,NA,14030005,NA,NA,NA,NA,NA,5,"seconds","Interpolated from MAP.","WGS84",NA,NA,NA,NA,NA,NA,"US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09183500",40,"USGS-UT","USGS Utah Water Science Center","NWIS","MILL CREEK AT SHELEY TUNNEL, NEAR MOAB, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09183500","MILL CREEK AT SHELEY TUNNEL, NEAR MOAB, UT","UT14030005-005_00","Mill Creek1-Moab","River/Stream","River / Stream","Mill Creek and tributaries, from confluence with Colorado River to headwaters",NA,"1C,2B,3A,4",1,1,1,0,38.4830403,-109.4040043,38.4830403,-109.4040043,14030005,26.8,"sq mi",NA,NA,24000,1,"seconds","Interpolated from MAP.","WGS84",5500,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,37,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
"USGS-09183600",41,"USGS-UT","USGS Utah Water Science Center","NWIS","MILL CREEK BELOW SHELEY TUNNEL, NEAR MOAB, UT","Stream",NA,"ACCEPT","Automatically accepted","USGS-09183600","MILL CREEK BELOW SHELEY TUNNEL, NEAR MOAB, UT","UT14030005-005_00","Mill Creek1-Moab","River/Stream","River / Stream","Mill Creek and tributaries, from confluence with Colorado River to headwaters",NA,"1C,2B,3A,4",1,1,1,0,38.485718,-109.4111044,38.485718,-109.4111044,14030005,27.6,"sq mi",NA,NA,NA,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","WGS84",5341,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",49,37,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
